#SKILL
Name         reserved~
Type         Spell
Flags        0
Minpos       8
Dammsg       ~
Wearoff      ???~
Minlevel     51
End

#SKILL
Name         unknown~
Type         unknown
Flags        0
Guild        0
Code         spell_smaug
Dammsg       ~
Minlevel     51
End

#SKILL
Name         wilt~
Type         Spell
Flags        262144
Target       1
Minpos       7
Saves        5
Slot         523
Mana         12
Rounds       12
Code         spell_smaug
Dammsg       ~
Hitchar      You remove some moisture from $N!~
Hitvict      $n removes some of your body moisture!~
Dice         2d25~
Minlevel     51
End

#SKILL
Name         acetum primus~
Type         Spell
Flags        909
Target       1
Minpos       7
Slot         302
Mana         50
Rounds       8
Code         spell_acetum_primus
Dammsg       Acetum Primus~
Wearoff      !WEAROFF!~
Minlevel     51
End

#SKILL
Name         acid blast~
Type         Spell
Flags        5
Target       1
Minpos       7
Slot         70
Mana         20
Rounds       12
Code         spell_acid_blast
Dammsg       acid blast~
Wearoff      !Acid Blast!~
Minlevel     20
End

#SKILL
Name         acid breath~
Type         Spell
Flags        5
Target       1
Minpos       7
Slot         200
Rounds       4
Code         spell_acid_breath
Dammsg       blast of acid~
Wearoff      !Acid Breath!~
Minlevel     43
End

#SKILL
Name         adrenalin control~
Type         Spell
Flags        376
Target       3
Minpos       3
Slot         511
Mana         65
Rounds       12
Code         spell_smaug
Dammsg       ~
Wearoff      You feel yourself slow down.~
Hitvict      You feel a boost of adrenaline in your system.~
Affect       'l*10' 1 '1' 0
Affect       'l*20' 2 '1' 0
Affect       'l*30' 5 '1' 0
Minlevel     51
End

#SKILL
Name         alertness~
Type         Spell
Flags        0
Target       3
Minpos       8
Slot         102
Mana         60
Rounds       15
Code         spell_smaug
Dammsg       ~
Wearoff      You are suddenly less alert.~
Hitvict      You suddenly feel alert.~
Hitroom      $N's eyes dart about the room in an alert manner.~
Affect       'l*15' 27 '1024' 0
Minlevel     23
End

#SKILL
Name         animate dead~
Type         Spell
Flags        0
Minpos       8
Slot         231
Mana         220
Rounds       12
Code         spell_animate_dead
Dammsg       ~
Wearoff      !Animate Dead!~
Minlevel     42
End

#SKILL
Name         antimagic shell~
Type         Spell
Flags        0
Target       3
Minpos       8
Slot         224
Mana         40
Rounds       12
Code         spell_smaug
Dammsg       ~
